Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[235-235],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[236-236],1m 57s,10.3.0.25,6734,files,60,60,0.382,745.667,60,0,0,0
[237-237],2m 3s,10.3.0.35,6742,files,80,80,0.531,816.75,80,0,0,0
[238-238],1m 58s,10.3.0.31,6726,files,60,60,1.794,3528.667,60,0,0,0
[239-239],1m 59s,10.3.0.31,6728,files,60,60,0.346,686.667,60,0,0,0
[24-24],1m 57s,10.3.0.31,6727,files,60,60,0.216,422,60,0,0,0
[240-240],1m 59s,10.3.0.31,6728,files,40,40,0.237,469.333,60,0,0,0
[241-241],1m 59s,10.3.0.31,6728,files,80,80,0.213,422,60,0,0,0
[242-242],1m 59s,10.3.0.31,6728,files,60,60,0.656,1300.667,60,0,0,0
[243-243],1m 58s,10.3.0.31,6726,files,60,60,1.812,3564,60,0,0,0
[244-244],1m 58s,10.3.0.31,6726,files,80,80,0.626,924,80,0,0,0
[245-245],1m 58s,10.3.0.31,6726,files,60,60,0.45,664.25,80,0,0,0
[246-246],1m 58s,10.3.0.31,6726,files,80,80,0.228,449,60,0,0,0
[247-247],1m 57s,10.3.0.31,6727,files,60,60,0.386,753.333,60,0,0,0
[248-248],1m 57s,10.3.0.31,6727,files,60,60,0.734,1430.333,60,0,0,0
[249-249],1m 57s,10.3.0.31,6727,files,60,60,0.564,1099.333,60,0,0,0
[25-25],1m 57s,10.3.0.31,6727,files,80,80,0.522,1018,60,0,0,0
[250-250],1m 57s,10.3.0.31,6727,files,60,60,0.355,692.667,60,0,0,0
[251-251],1m 57s,10.3.0.31,6727,files,40,40,0.545,1063.667,60,0,0,0
[252-252],1m 58s,10.3.0.25,6736,files,60,60,0.526,1034.333,60,0,0,0
[253-253],1m 58s,10.3.0.25,6736,files,60,60,0.435,1282.5,40,0,0,0
[254-254],2m 3s,10.3.0.35,6742,files,40,40,0.203,416.667,60,0,0,0
[255-255],1m 57s,10.3.0.31,6727,files,80,80,0.481,704,80,0,0,0
